,business_name,location,inspection_score
282,PEET'S COFFEES & TEAS,"(37.786754, -122.450476)",88.0
283,SWEET THINGS,"(37.786453, -122.452807)",98.0
284,PANCHO'S,"(37.781507, -122.456176)",92.0
285,TAWAN'S THAI FOOD,"(37.780834, -122.46659)",94.2857142857
286,ROYAL GROUND COFFEE,"(37.780394, -122.47641)",93.1428571429
287,TAQUERIA LA PAZ,"(37.782732, -122.414139)",56.0
288,ZAOH RESTAURANT,"(37.773467, -122.418093)",76.0
289,PAZZO,"(37.769287, -122.403974)",90.75
290,Yamo Restaurant,"(37.761882, -122.419599)",89.7142857143
291,Sunflower Cafe,"(37.786316, -122.409371)",94.5
292,Banwich,"(37.742895, -122.477898)",90.1666666667
293,JAVA SUPREME,"(37.759934, -122.423553)",92.3333333333
294,THANH THANH,"(37.782053, -122.482799)",75.2307692308
295,KABABAYAN FAST FOOD,"(37.753691, -122.418657)",79.2941176471
296,KD'S GROG & GROCERY,"(37.762602, -122.435384)",93.6
297,REVERIE COFFEE CAFE,"(37.766097, -122.449997)",88.2857142857
298,NORTH BEACH PIZZA,"(37.767286, -122.453075)",85.7777777778
299,LAVA JAVA,"(37.766812, -122.452974)",89.4
300,STARBUCKS COFFEE CO.,"(37.764088, -122.465981)",98.0
301,STARBUCKS,"(37.790944, -122.392051)",100.0
302,MORNING DUE,"(37.762939, -122.428473)",83.0
303,AMASIA HIDE'S SUSHI BAR,"(37.766774, -122.433306)",100.0
304,MAXFIELDS,"(37.763168, -122.426345)",94.4
305,ORPHAN ANDY'S,"(37.758132, -122.435614)",86.4
306,ANCHOR OYSTER BAR INC.,"(37.759613, -122.434817)",93.4
307,TAQUERIA EL BUEN SABOR,"(37.761743, -122.421492)",91.0
308,WE BE SUSHI,"(37.755824, -122.420986)",72.7692307692
309,RAIN TREE CAFE,"(37.764128, -122.464961)",84.0
310,GORDO TAQUERIA #6,"(37.780517, -122.477804)",87.0
311,"LA MEDITERRANEE I, INC.","(37.789961, -122.433962)",88.4
312,THE BLACK HORSE LONDON DELI,"(37.798528, -122.424394)",86.0
313,CHLOE'S,"(37.748594, -122.427116)",85.9333333333
314,SAN MIGUEL RESTAURANT #2,"(37.744726, -122.420395)",81.6470588235
315,HIGHER GROUNDS,"(37.734483, -122.43368)",91.7333333333
316,SPIKE'S COFFEES & TEAS,"(37.759253, -122.43503)",90.2222222222
317,Beanery,"(37.758941, -122.48591)",92.4
318,Cordon Bleu,"(37.790683, -122.420264)",82.5555555556
319,CREPES ON COLE,"(37.765778, -122.450184)",81.8181818182
320,KING OF THAI NOODLE HOUSE,"(37.782833, -122.46615)",81.0714285714
321,EXIT THEATRE,"(37.784288, -122.410224)",96.6666666667
322,LA TORTILLA,"(37.760954, -122.434935)",84.625
323,SUSHI TIME,"(37.764697, -122.432322)",94.0
324,MING'S FONG LAM RESTAURANT,"(37.752798, -122.409843)",74.3333333333
325,STARBUCKS COFFEE CO.,"(37.785907, -122.439957)",99.3333333333
326,RESTAURANTE FAMILIAR,"(37.726402, -122.433476)",90.2222222222
327,CAFE LA TAZA,"(37.757436, -122.41888)",87.9
328,Starbucks Coffee,"(37.797754, -122.400925)",94.0
329,PEBBLE'S CAFE,"(37.73382, -122.434093)",83.2
330,GASPARE'S PIZZA HOUSE & REST.,"(37.78047, -122.478832)",85.0
331,Sauce SF,"(37.774644, -122.422554)",94.0
332,YUMMA'S MED GRILL,"(37.764053, -122.465539)",83.4285714286
333,La Copa Loca,"(37.755538, -122.417982)",98.5
334,STARBUCKS COFFEE #5431,"(37.792137, -122.394573)",97.0
335,STARBUCKS,"(37.780305, -122.477825)",100.0
336,SWEET DELIGHT BAKERY,"(37.726117, -122.433817)",76.0434782609
337,MIFUNE DON,"(37.785018, -122.429587)",85.2
338,HOLEY BAGEL BAKERY,"(37.751628, -122.429122)",89.8
339,CABLE CAR COFFEE,"(37.783658, -122.408568)",90.3
340,Waterfront Bakery,"(37.807155, -122.419004)",87.2222222222
341,Starbucks Coffee,"(37.790086, -122.422167)",93.7142857143
342,CAFE V,"(37.771538, -122.414372)",88.0
343,KISS SEAFOOD,"(37.786838, -122.428317)",92.8
344,BIO,"(37.786633, -122.405972)",82.7857142857
345,BAZAAR CAFE,"(37.784023, -122.481199)",92.0833333333
346,Whole Foods Steep Brew,"(37.790193, -122.423437)",98.6666666667
347,Holiday Inn Express-Main Kitchen,"(37.806288, -122.416244)",99.5
348,A2 CAFE,"(37.767224, -122.399039)",92.4
349,STARBUCKS COFFEE,"(37.744736, -122.452666)",100.0
350,PEET'S COFFEE & TEA,"(37.787834, -122.399522)",89.3636363636
351,ZEKE'S DIAMOND BAR,"(37.779957, -122.394169)",83.2
352,Peet's Coffee & Tea,"(37.795184, -122.393819)",92.0
353,FOUR SEASONS HOTEL- EMPLOYEE  CAFETERIA,"(37.786476, -122.404852)",92.6666666667
354,Starbucks Coffee Company #6765,"(37.790376, -122.405544)",93.6
355,Nonna Rose Restaurant,"(37.795202, -122.413169)",91.0
356,CLUB WAZIEMA,"(37.774674, -122.437764)",89.5
357,Mama' Art Cafe,"(37.721949, -122.436936)",85.25
358,AT&T - Cognac Bar/ KITCHEN Room3232 [145080],"(37.778382, -122.391151)",95.625
359,AT&T - FIELD CLUB KITCHEN [145082],"(37.778382, -122.391151)",91.8125
360,AT&T -in-seat service KITCHEN/Press Dining [145081],"(37.778382, -122.391151)",94.5555555556
361,STARBUCKS #5852,"(37.789314, -122.395192)",100.0
362,CHOUQUET'S,"(37.791607, -122.434563)",86.0
363,CITY'S CHOICE,"(37.780263, -122.403323)",88.25
364,STARBUCKS,"(37.778694, -122.396139)",90.0
365,Neiman Marcus On The Square,"(37.791586, -122.408452)",87.7777777778
366,Cafe Niebaum Coppola,"(37.796517, -122.405167)",90.6666666667
367,I LUV TERIYAKI AND SUSHI,"(37.766293, -122.407671)",83.0
368,OMNI S.F. Hotel - Food & Beverage Storeroom,"(37.792888, -122.403135)",99.0
369,Cafe Bellini,"(37.786974, -122.408174)",89.7777777778
370,Fino,"(37.788094, -122.41176)",100.0
371,Cornell Hotel - Jeanne D'Arc,"(37.790103, -122.409117)",99.3333333333
372,Uncle Vito's Pizza,"(37.790219, -122.408849)",84.5
373,Asia Chinese Food #2,"(37.805758, -122.412804)",82.8823529412
374,TANPOPO,"(37.785961, -122.429776)",78.0909090909
375,901 Columbus Cafe,"(37.803056, -122.414186)",88.4
376,SF Bay Club - Court Cafe,"(37.803208, -122.402534)",82.1428571429
377,Nick's Lighthouse,"(37.802479, -122.411234)",90.1818181818
378,Caffe Bianco,"(37.790102, -122.401158)",85.375
379,ESPERPENTO RESTAURANT,"(37.755303, -122.420649)",85.75
380,Young's Restaurant,"(37.793702, -122.404653)",80.1666666667
381,Zazie,"(37.765343, -122.449914)",88.0
382,BURGERMEISTER,"(37.765848, -122.449664)",84.9285714286
383,Cafe Bean,"(37.788587, -122.413795)",93.6
384,LE ZINC,"(37.751323, -122.433249)",91.4545454545
385,CLADDAGH COFFEE,"(37.715997, -122.440048)",92.0
386,Tung Sing Restaurant,"(37.751373, -122.432319)",86.1818181818
387,BRICK HOUSE CAFE,"(37.779534, -122.395099)",95.5
388,STARBUCKS COFFEE #5646,"(37.791227, -122.398872)",98.6666666667
389,Starbucks Coffee,"(37.794184, -122.396524)",97.0
390,CLEMENT BBQ RESTAURANT,"(37.782843, -122.4659)",81.875
391,BENDERS BAR & GRILL,"(37.76031, -122.417123)",96.0
392,LUPA TRATTORIA,"(37.751243, -122.434529)",93.1428571429
393,Casa Mexicana Restaurant,"(37.751513, -122.430179)",82.7272727273
394,SWEET CHINITO,"(37.748164, -122.418241)",93.7777777778
395,KEZAR PUB,"(37.767828, -122.453227)",92.0
396,AXUM,"(37.771738, -122.433583)",96.0
397,MARTHA & BROS. COFFEE CO,"(37.745974, -122.426856)",87.2307692308
398,COURTYARD BY MARRIOTT-RESTAURANT,"(37.785614, -122.396693)",97.5
399,STARBUCKS,"(37.785037, -122.400432)",94.5
400,PANDA EXPRESS,"(37.784317, -122.407563)",93.75
401,SILVER CREST DONUT SHOP,"(37.742456, -122.405766)",99.0
402,Just For You Cafe Inc.,"(37.757948, -122.388862)",88.6666666667
403,WORKING GIRLS' CAFE III,"(37.792308, -122.393809)",94.0
404,RUBIN'S,"(37.792577, -122.393992)",100.0
405,NORDSTROM CAFE BISTRO,"(37.784317, -122.407563)",84.2727272727
406,PRIMO PATIO CAFE,"(37.778593, -122.393149)",86.8888888889
407,"New Lun Ting Cafe, Inc","(37.796098, -122.406275)",84.8
