,business_name,location,inspection_score,foursquare_id,foursquare_name
76,MOULIN ROUGE,"(37.786084, -122.417889)",75.875,49df9b68f964a520ed601fe3,Moulin Rouge Restaurant
77,PACIFIC CATCH,"(37.800763, -122.436536)",86.3636363636,49d050a3f964a5201c5b1fe3,Pacific Catch
78,The Posh Bagel,"(37.760954, -122.434935)",90.0909090909,49f31cb8f964a520676a1fe3,The Posh Bagel
79,FIRST CUP,"(37.802454, -122.424854)",94.0,4b428354f964a5206cd525e3,First Cup Cafe
80,NAPOLI PIZZA RESTAURANT,"(37.786545, -122.419894)",77.5263157895,4a7a8f85f964a52064e91fe3,Napoli Pizza
81,WAYO,"(37.788609, -122.42213)",97.0,49d6a648f964a520f35c1fe3,Wayo Sushi
82,TEN ICHI RESTAURANT,"(37.790333, -122.434144)",84.4,4458f615f964a520d5321fe3,Ten-Ichi
83,Miyako,"(37.783017, -122.432584)",87.0,4ae35463f964a520849321e3,Miyako Old Fashion Ice Cream Shop
84,Polkers,"(37.797296, -122.421967)",77.8947368421,,
85,GORDO TAQUERIA #2,"(37.758941, -122.48591)",92.0,4a062117f964a520bb721fe3,Gordo Taqueria
86,GIANT SCOOP,"(37.727468, -122.403582)",81.1,4e4d4a93bd413c4cc66ff6fb,Giant Scoop Cafe
87,King Ling,"(37.786543, -122.414536)",92.0,4a32fe21f964a520e09a1fe3,King Ling
88,RINCONSITO SALVADORENO,"(37.73571, -122.424528)",88.0,4af33ec0f964a52018ec21e3,Rinconcito Salvadoreno
89,REINA RESTAURANT,"(37.712927, -122.444358)",87.3076923077,4ac169e0f964a520159720e3,Reina's Restaurant
90,ADELITA'S CAKES,"(37.736304, -122.424432)",85.1578947368,4c015f94f7ab0f4758fd15b6,Adelita's Cakes and Bakery
91,CAFE ELENA,"(37.794347, -122.394932)",100.0,4b140774f964a5200c9c23e3,Cafe Elena
92,SUPER STAR RESTAURANT,"(37.719692, -122.438575)",87.6666666667,4b3d2bc9f964a520808f25e3,Super Star Restaurant
93,SF MARRIOTT HOTEL PANTRY 5/F,"(37.784964, -122.404752)",98.0,49d2c3b6f964a520d15b1fe3,San Francisco Marriott Marquis
94,SF MARRIOTT HOTEL PANTRY 4/F,"(37.784964, -122.404752)",97.6,4cc0591ca0c4f04d5f3d5a31,Marriott Hotel 4TH Floor Meeting Room
95,SF MARRIOTT VIEW LOUNGE PANTRY,"(37.784964, -122.404752)",96.0,49d2c3b6f964a520d15b1fe3,San Francisco Marriott Marquis
96,COW HOLLOW CATERING,"(37.801401, -122.447857)",96.0,4aeb443bf964a52057c021e3,Cow Hollow Playground & Clubhouse
97,HAAGEN-DAZS #561,"(37.784317, -122.407563)",82.0666666667,4ac7cb2af964a520ccb920e3,Häagen-Dazs
98,EL FARO,"(37.788613, -122.393894)",98.0,4a0083c8f964a5208a701fe3,El Faro
99,HOUSE OF HUNAN,"(37.757923, -122.393914)",81.8571428571,42e03700f964a52065261fe3,House of Prime Rib
100,Cafe Madeleine,"(37.786698, -122.405473)",85.5454545455,4a5b941bf964a52070bb1fe3,Cafe Madeleine
101,Buster's,"(37.798444, -122.407444)",78.347826087,49cc4c38f964a52067591fe3,Buster's
102,Caffe Roma Coffee Roasting Co,"(37.799845, -122.409434)",81.2222222222,42814b00f964a520ec211fe3,Caffè Roma Coffee Roasting Co.
103,Michelangelo Caffe,"(37.800166, -122.410006)",89.0909090909,4a7dd5f9f964a520cfef1fe3,Michelangelo Caffe
104,Orale Orale Inc,"(37.794501, -122.39716)",86.0,4a68c5b0f964a520fbca1fe3,Orale Orale Mexican Restaurant
